CourseCode,CourseFullName
 COMM 100W , Writing Workshop: Writing for Influence
 COMM 101C , Junior Seminar: Theorizing Communication
 COMM 105P ," Communication, Self and Society"
 COMM 110F , Interpersonal Communication
 COMM 111P , Interviewing
 COMM 112P , Communicating at Work
 COMM 113P , Games in Everyday Life
 COMM 114P , Business and Professional Speaking
 COMM 115P , Communication and Conflict
 COMM 116P , Mediation: Theory and Practice
 COMM 117F , Understanding Play & Games
 COMM 119I , Researching Games
 COMM 120P , Persuasive & Presentation Skills
 COMM 121P , Performance as Practice
 COMM 122F , Performance Studies
 COMM 123I , Performance of Ethnodrama
 COMM 124P , Communication Training and Development
 COMM 125P , Ensemble Performance
 COMM 126F , Race and Performance
 COMM 130F ," Activism, Action, and Resistance"
 COMM 131P , New Media/You Media
 COMM 132F , Dis/Ability Communication
 COMM 133F , Ethical Problems in Communication
 COMM 140P , Argumentation and Debate
 COMM 141P , Small Group Communication
 COMM 144F , Organizational Communication
 COMM 145I , Rhetorical and Cultural Criticism
 COMM 146F , Communication and the Environment
 COMM 147P , Argumentation and Persuasion in Courts of Law
 COMM 148P , Environmental Advocacy
 COMM 149F , Rhetoric and Public Life
 COMM 150I , Inquiry in Organizational Communication
 COMM 151I , New Media/New Methods
 COMM 152I , Communication in World Cultures
 COMM 153I , Discourse Analysis
 COMM 154I , Ethnography for Communication Studies
 COMM 155I , Quantitative Communication Inquiry
 COMM 156I , Observation and Interviewing Methods
 COMM 157SL , Community Action/Community Service
 COMM 160F ," Language, Meaning and Culture"
 COMM 161F , Communication and Culture
 COMM 164F , Communication and Global Organizations
 COMM 165P , Communication and Organizational Philanthropy
 COMM 168A , Global Climate Change I
 COMM 168B , Global Climate Change II
 COMM 169I , The Media: Response and Criticism
 COMM 170F , Persuasion
 COMM 172F , Multicultural Communication in the United States
 COMM 173F , Intercultural Communication and Global Understanding
 COMM 174 , Intercultural Comm & Struct Inequality
 COMM 175F , Nonverbal Communication
 COMM 176P , Communication and Gender
 COMM 178F , Critical Intercultural Communication Studies
 COMM 179 , Global Media and Resistance
 COMM 180 , Individual Studies
 COMM 181F , New Media/New World
 COMM 182P , Communication in the Classroom
 COMM 184 , Directed Reading
 COMM 185F , Health Communication
 COMM 186I , Research Methods in Health Communication
 COMM 187P , Communication and Community Wellness
 COMM 190 , Activity Projects in Speech
 COMM 190I , Activity Proj in Speech International
 COMM 191A , Activity Projects in Forensics
 COMM 191B , Activity Projects in Forensics
 COMM 191C , Activity Projects in Forensics
 COMM 191J , Activity Projects in Forensics
 COMM 191M , Activity Projects in Forensics
 COMM 192 , International Program Studies
 COMM 193 , Activity Projects in Intercultural/International Communication
 COMM 194 , Specialized Projects for International Immersion
 COMM 195 , Special Topics in Communication Studies
 COMM 198 , Applied Activity in Communication
 COMM 199C , Senior Seminar: Synthesis & Application
 COMM 200R , Graduate Study in Communication
 COMM 201 , Communication Methodologies
 COMM 210R , Seminar in Interpersonal Communication
 COMM 231R , Performing Presentational Aesthetics
 COMM 232R , Seminar in Performance and Culture
 COMM 240R , Seminar in Argument and Debate
 COMM 241R , Seminar in Small Group Communication
 COMM 244R , Seminar in Organizational Communication
 COMM 245R , Seminar in Communication Criticism
 COMM 249R , Seminar in the Philosophy of Communication
 COMM 250R , Seminar in Communication Theory: Critical and Interpretive
 COMM 255R , Seminar in Communication Theory
 COMM 265 , Seminar in Crisis Communication
 COMM 269R , Seminar in Contemporary Communication
 COMM 274R , Seminar in Intercultural Communication
 COMM 280 , Independent Study
 COMM 282R , Seminar in Communication Pedagogy
 COMM 285A , Teaching Associate Practicum I
 COMM 285B , Teaching Associate Practicum II
 COMM 290 , Thesis and project supervision
 COMM 291 , Communication Studies Graduate Internship Program
 COMM 292 , International Program Studies
 COMM 295R , Special Topics in Communication
 COMM 297 , Advanced Writing Workshop
 COMM 298 , Master’s Project
 COMM 299 , Master’s Thesis
 COLT 121 , Introduction to Comparative Literature
 COLT 122 , Topics in Comparative World Literature
 COLT 192 , International Program Studies
 CMPE 30 , Programming Concepts and Methodology
 CMPE 50 , Object-Oriented Concepts and Methodology
 CMPE 92 , International Program Studies
 CMPE 102 , Assembly Language Programming
 CMPE 110 , Electronics for Computing Systems
 CMPE 120 , Computer Organization and Architecture
 CMPE 124 , Digital Design I
 CMPE 125 , Digital Design II
 CMPE 126 , Algorithms and Data Structure Design
 CMPE 127 , Microprocessor Design I
 CMPE 130 , Advanced Algorithm Design
 CMPE 131 , Software Engineering I
 CMPE 132 , Information Security
 CMPE 133 , Software Engineering II
 CMPE 135 , Object-Oriented Analysis and Design
 CMPE 137 , Wireless Mobile Software Engineering
 CMPE 138 , Database Systems I
 CMPE 139 , Fundamentals of Data Mining
 CMPE 140 , Computer Architecture and Design
 CMPE 142 , Operating Systems Design
 CMPE 146 , Real-Time Embedded System Co-Design
 CMPE 148 , Computer Networks I
 CMPE 150 , System Architecture and Electronic Design for Robotics
 CMPE 152 , Compiler Design
 CMPE 163 , Introduction to Computer Graphics and Augmented Reality
 CMPE 165 , Software Engineering Process Management
 CMPE 172 , Enterprise Software Platforms
 CMPE 180 , Individual Studies
 CMPE 180A , Data Structures and Algorithms in C++
 CMPE 180B , Database Systems
 CMPE 180C , Operating Systems Design
 CMPE 180D , Digital Design and Microprocessors
 CMPE 181 , Internet of Things Platforms
 CMPE 182 , Internet of Things Security
 CMPE 183 , Cryptocurrencies and Blockchains
 CMPE 185 , Autonomous Mobile Robots
 CMPE 187 , Software Quality Engineering
 CMPE 188 , Machine Learning for Big Data
 CMPE 189 , Special Topics in Computer Engineering
 CMPE 192 , International Program Studies
 CMPE 195A , Senior Design Project I
 CMPE 195B , Senior Design Project II
 CMPE 195E , Senior Design Project I
 CMPE 195F , Senior Design Project II
 CMPE 197 , Cooperative Education Project
 CMPE 198 , Technology and Civilization
 CMPE 200 , Computer Architecture
 CMPE 202 , Software Systems Engineering
 CMPE 203 , Software Engineering Management
 CMPE 206 , Computer Network Design
 CMPE 207 , Network Programming and Application
 CMPE 208 , Network Architecture and Protocols
 CMPE 209 , Network Security and Applications
 CMPE 210 , Software-defined Networks and Network Functions Virtualization
 CMPE 211 , Advanced Network Security in IoT
 CMPE 212 , System Verification
 CMPE 213 , Parallel Computing
 CMPE 214 , GPU Architecture and Programming
 CMPE 217 , Human Computer Interaction
 CMPE 219 , HCI for Cyber Security
 CMPE 220 , System Software
 CMPE 226 , Database Systems
 CMPE 235 , Mobile Software System Design
 CMPE 240 , Advanced Computer Design
 CMPE 242 , Embedded Hardware Design
 CMPE 243 , Embedded Systems Applications
 CMPE 244 , Embedded Software
 CMPE 245 , Embedded Wireless Architecture
 CMPE 246 , Interface Design in Embedded Systems
 CMPE 249 , Intelligent Autonomous Systems
 CMPE 252 , Artificial Intelligence and Data Engineering
 CMPE 255 , Data Mining
 CMPE 256 , Advanced Data Mining
 CMPE 257 , Machine Learning
 CMPE 258 , Deep Learning
 CMPE 260 , Reinforcement Learning
 CMPE 264 , Advanced Digital and Computing System Design
 CMPE 265 , High Speed Digital System Design
 CMPE 266 , Big Data Engineering and Analytics
 CMPE 270 , Information Engineering
 CMPE 272 , Enterprise Software Platforms
 CMPE 273 , Enterprise Distributed Systems
 CMPE 274 , Business Intelligence Technologies
 CMPE 275 , Enterprise Application Development
 CMPE 277 , Smartphone Application Development
 CMPE 279 , Software Security Technologies
 CMPE 280 , Web UI Design and Development
 CMPE 281 , Cloud Technologies
 CMPE 282 , Cloud Services
 CMPE 283 , Virtualization Technologies
 CMPE 284 , Storage and Network Virtualization
 CMPE 285 , Software Engineering Processes
 CMPE 286 , Internet of Things
 CMPE 287 , Software Quality Assurance and Testing
 CMPE 292 , International Program Studies
 CMPE 294 , Computer Engineering Seminar
 CMPE 294A , Cyber Security Seminar
 CMPE 295A , Master Project I
 CMPE 295B , Master Project II
 CMPE 295W , Master’s Project
 CMPE 296Z , System Architecture
 CMPE 297 , Special Topics in Computer/Software Engineering
 CMPE 298 , Special Problems
 CMPE 298I , Computer/Software Engineering Internship
 CMPE 299A , Master Thesis I
 CMPE 299B , Master Thesis II
 CS 22A , Python Programming for Non Majors I
 CS 22B , Python Programming for Non Majors II
 CS 25 , The Digital World and Society
 CS 40 , Introduction to Computers
 CS 42 , Discrete Mathematics
 CS 42X , Discrete Mathematics
 CS 46A , Introduction to Programming
 CS 46B , Introduction to Data Structures
 CS 47 , Introduction to Computer Systems
 CS 49C , Programming in C
 CS 49J , Programming in Java
 CS 50 , Scientific Computing I
 CS 85C , Practical Computing Topics
 CS 92 , International Program Studies
 CS 100W , Technical Writing Workshop
 CS 108 , Introduction to Game Studies
 CS 116A , Introduction to Computer Graphics
 CS 116B , Computer Graphics Algorithms
 CS 122 , Advanced Programming with Python
 CS 123A , Bioinformatics I
 CS 123B , Bioinformatics II
 CS 134 , Computer Game Design and Programming
 CS 136 , Introduction to Computer Vision
 CS 143C , Numerical Analysis and Scientific Computing
 CS 143M , Numerical Analysis and Scientific Computing
 CS 144 , Advanced C++ Programming
 CS 146 , Data Structures and Algorithms
 CS 147 , Computer Architecture
 CS 149 , Operating Systems
 CS 151 , Object-Oriented Design
 CS 152 , Programming Paradigms
 CS 153 , Concepts of Compiler Design
 CS 154 , Formal Languages and Computability
 CS 155 , Introduction to the Design and Analysis of Algorithms
 CS 156 , Introduction to Artificial Intelligence
 CS 157A , Introduction to Database Management Systems
 CS 157B , Database Management Systems II
 CS 157C , NoSQL Database Systems
 CS 158A , Computer Networks
 CS 158B , Computer Network Management
 CS 159 , Introduction to Parallel Processing
 CS 160 , Software Engineering
 CS 161 , Software Project
 CS 166 , Information Security
 CS 168 , Blockchain and Cryptocurrencies
 CS 171 , Introduction to Machine Learning
 CS 174 , Server-side Web Programming
 CS 175 , Mobile Device Development
 CS 176 , Introduction to Social Network Analysis
 CS 180 , Individual Studies
 CS 180H , Individual Studies for Honors
 CS 185C , Advanced Practical Computing Topics
 CS 190 , Internship Project
 CS 190I , Internship Project
 CS 192 , International Program Studies
 CS 200W , Graduate Technical Writing
 CS 218 , Topics in Cloud Computing
 CS 223 , Bioinformatics
 CS 235 , User Interface Design
 CS 243B , Advanced Topics in Numerical Analysis
 CS 247 , Advanced Computer Architecture
 CS 249 , Distributed Computing
 CS 251 , Obj Oriented Anlys
 CS 251A , Object-Oriented Analysis
 CS 251B , Object-Oriented Design
 CS 252 , Advanced Programming Language Principles
 CS 254 , Theory of Computation
 CS 255 , Design and Analysis of Algorithms
 CS 256 , Topics in Artificial Intelligence
 CS 257 , Database System Principles
 CS 258 , Computer Communication Systems
 CS 259 , Advanced Parallel Processing
 CS 262 , Randomized Algorithms and Applications
 CS 265 , Cryptography and Computer Security
 CS 266 , Topics in Information Security
 CS 267 , Topics in Database Systems
 CS 268 , Topics in Wireless Mobile Networking
 CS 271 , Topics in Machine Learning
 CS 274 , Topics in Web Intelligence
 CS 280 , Graduate Individual Studies
 CS 286 , Advanced Topics in Computer Science
 CS 297 , Preparation for Writing Project or Thesis
 CS 298 , Master’s Writing Project
 CS 298B , Bioinformatics Master’s Project
 CS 299 , Master’s Thesis
 CS 1290R , Culminating Experience Supervision
 EDCO 4 ," Personal, Academic and Career Exploration"
 EDCO 4FY ," Personal, Academic and Career Exploration"
 EDCO 10 , Adjunct Learning
 EDCO 92 , International Program Studies
 EDCO 180 , Individual Studies
 EDCO 215 , Introduction to Counseling and Guidance
 EDCO 218 , Counseling Process & Techniques
 EDCO 219 , Practicum in Guidance II
 EDCO 221 , Research in Counselor Education
 EDCO 227 , School-Family-Community Collaboration
 EDCO 232 , Law & Ethics in Counseling
 EDCO 244 , Cultural Perspectives in Counseling
 EDCO 248 , Dynamics of Behavior and Development
 EDCO 266 , Education and Career Planning
 EDCO 267 , Practicum in Lifespan and Career Development
 EDCO 268 , Lifespan Development
 EDCO 279 , Advanced Group Process Theory and Practice
 EDCO 280 , Multicultural Counseling
 EDCO 282 , Assessment for Counselors
 EDCO 283 , Advanced Educational Assessment
 EDCO 285 , Trauma Counseling & Crisis Intervention
 EDCO 286 , Organizational Change and Development
 EDCO 287 , Comprehensive School Counseling Analysis
 EDCO 288 , Seminar in Counseling Theory and Practice
 EDCO 289 , Seminar in Professional Counseling
 EDCO 292 , Supervised Experience in Counseling
 EDCO 293 , Practicum in Child and Substance Abuse
 EDCO 294 , Practicum in Self-Development
 EDCO 298 , Special Studies in Counselor Education
 EDCO 299 , Master’s Thesis
 CA 60 , Creativity Matters
 CA 70 , Visual & Media Arts for K-8 Teachers
 CA 75 , Performing Arts for K-8 Teachers
 CA 95 , Introduction to Queer Arts
 CA 134 , Religion Film & Media
 CA 139 , Teaching Diversity through Art
 CA 148 , Voice & Movement for Performance
 CA 150 , Field Experience in the Arts
 CA 172 , The Arts in U.S. Society
 CA 173 , Thinking About Contemporary World Arts
 CA 175 , Seminar in Creative Process
 CA 176 , Creativity and Creative Leadership
 CA 177 , Interdisciplinary Arts for Teaching
 CA 178 , Senior Seminar in Creative Arts
 CA 180 , Individual Studies
 CA 190 , Field Work/Internship
 CA 192 , International Program Studies
 CA 194 , Community Building through Arts Orgs
 DANC 10 , Dance Appreciation
 DANC 12 , Ensemble Dance Rehearsal and Performance
 DANC 40A , Topics in Modern Dance I
 DANC 41A , Topics in Ballet I
 DANC 42A , Topics in Jazz Dance I
 DANC 43 , Dance Improvisation
 DANC 45A , Beginning Lindy Hop and Night Club Swing
 DANC 46A , Beginning Social Dance
 DANC 46B , Intermediate Social Dance
 DANC 48A , Beginning Latin Dance
 DANC 48B , Intermediate Latin Dance
 DANC 49A , Topics in Tap Dance I
 DANC 49B , Topics in Tap Dance II
 DANC 51A , Dance Production
 DANC 51B , Topics in Dance Crewing
 DANC 53 , Techniques in World Dance
 DANC 54 , Topics in Dance Technique II
 DANC 75 , Rhythm and Dynamics in Dance
 DANC 92 , International Program Studies
 DANC 102 , Dance in World Cultures
 DANC 112 , ENS: Dance Rehearsal and Performance
 DANC 140B , Topics in Modern Dance IV
 DANC 141B , Topics in Ballet IV
 DANC 142B , Topics in Jazz Dance IV
 DANC 144A , Dance History and Repertory
 DANC 145A , Choreography I
 DANC 145B , Choreography II
 DANC 145C , Choreography III
 DANC 147A , Dance Seminar
 DANC 148 , Children’s Dance
 DANC 150A , Kinesiology I
 DANC 150B , Kinesiology II
 DANC 151 , Introduction to Dance Pedagogy
 DANC 154A , Topics in Dance Technique III
 DANC 154B , Topics in Dance Technique IV
 DANC 192 , International Program Studies
 DANC 194 , Dance Repertory Activity
 DANC 198 , Internship in Dance
 DATA 200 , Computational Programming for Data Analytics
 DATA 220 , Mathematical Methods for Data Analytics
 DATA 225 , Database Systems for Analytics
 DATA 228 , Big Data Technologies and Applications
 DATA 230 , Data Visualization
 DATA 240 , Data Mining and Analytics
 DATA 245 , Machine Learning Technologies
 DATA 250 , Large Scale Data Analytics
 DATA 255 , Deep Learning Technologies
 DATA 260 , Applied Intelligent Systems
 DATA 270 , Data Analytics Processes
 DATA 294 , Data Analytics Seminar
 DATA 295 , Special Problems in Data Analytics
 DATA 296 , Special Topics in Data Analytics
 DATA 297 , Data Analytics Internship
 DATA 298A , MSDA Project I
 DATA 298B , MSDA Project II
 DATA 299A , MSDA Thesis I
 DATA 299B , MSDA Thesis II
 DSGN 92 , International Program Studies
 DSGN 100W , Writing Workshop: Design
 DSGN 127 , Internship
 DSGN 148 , Introduction to Spatial Visualization Technology in Urban Planning
 DSGN 180 , Individual Studies
 DSGN 183 , Special Topics in Design
 DSGN 192 , International Program Studies
 DSGN 197 , BA Senior Project
 DSGN 248 , Spatial Visualization Tech in Urb Plan
 ESE 1001 , Introduction-College Reading and Composition
 ESE 1003 , Introduction to Analytical Writing
 ESM 1001 , ES Elementary Algebra Review
 ESM 1005 , Topics in Elementary Algebra
 ECON 1A , Principles of Economics: Macroeconomics
 ECON 1B , Principles of Economics: Microeconomics
 ECON 2A , Principles of Macroeconomics Online Lab
 ECON 2B , Principles of Microeconomics Online Lab
 ECON 2C , Statistics Lab
 ECON 3 , Economic Statistics
 ECON 92 , International Program Studies
 ECON 100W , Writing Workshop: Economic Reports
 ECON 101 , Microeconomic Analysis
 ECON 102 , Macroeconomic Analysis
 ECON 103 , Intro to Econometrics
 ECON 103A , Introduction to Econometrics and Research Methods
 ECON 103B , Econometric Methods
 ECON 104 , Mathematical Methods for Economics
 ECON 106 , Managerial Economics
 ECON 107 , Introduction to Environmental Economics and Policy
 ECON 108 , Cost-Benefit Analysis
 ECON 109 , Analysis of Economic Issues for Teachers
 ECON 112 , Economic Development
 ECON 113A , Economic History of the United States
 ECON 113B , Economic History of Europe
 ECON 121 , Industrial Organization
 ECON 132 , Public Finance
 ECON 133 , Public Choice
 ECON 135 , Money and Banking
 ECON 136 , International Economics
 ECON 137A , Fundamentals of Corporate Finance
 ECON 137B , Topics in Corporate Finance
 ECON 138 , Business and Economic Forecasting
 ECON 139 , Principles of Investments
 ECON 141 , Law and Economics
 ECON 151 , Labor Economics
 ECON 155 , Principles of Austrian Economics
 ECON 158 , Economics of Entrepreneurship
 ECON 165 , Regional Economics
 ECON 166 , Urban Economics
 ECON 170 , Health Economics
 ECON 180 , Individual Studies
 ECON 185 , Applied Economics Internship
 ECON 190 , History of Economic Thought
 ECON 191 , Economic Thought of Nobel Prize Winners
 ECON 192 , International Program Studies
 ECON 193 , New Institutional Economics
 ECON 195 , Computational Methods for Economics
 ECON 197 , Experimental Economics
 ECON 201 , Seminar in Microeconomic Analysis
 ECON 202 , Seminar in Macroeconomic Analysis
 ECON 203A , Economic Research Methods
 ECON 203B , Seminar in Econometric Methods
 ECON 205 , Workshop in Economic Analysis
 ECON 212 , Economic Development
 ECON 221 , Industrial Organization
 ECON 232 , Seminar in Public Finance
 ECON 235 , Seminar in Monetary Theory and Policy
 ECON 236 , Seminar in International Trade and Finance
 ECON 241 , Seminar in Law and Economics
 ECON 251 , Seminar in Labor Economics
 ECON 281 , Advanced Topics in Economics
 ECON 285 , Applied Economics Internship
 ECON 297 , Experimental Methods in Economics
 ECON 298 , Special Study
 ECON 298E , Special Study Comprehensive Exam
 ECON 299 , Master’s Thesis or Project
 ECON 1290R , Culminating Experience Supervision
 EDD 501 , Quantitative Analysis for Educational Research
 EDD 502 , Qualitative Methods in Educational Research
 EDD 510 , Educational Leadership: Theory and Practice
 EDD 511 , Leadership for Learner Centered Organizations
 EDD 512 ," Leadership, Complexity, and Systems Thinking"
 EDD 515 ," Leadership, Diversity, and Culture: Family, School and Community Connections"
 EDD 520 , Organizational Behavior and Change in Education
 EDD 522 , Communication and Educational Leadership
 EDD 530 ," Assessment, Testing and Evaluation: Contexts and Implications for School Reform"
 EDD 535 ," Education Policy, Resource Allocation and School Reform"
 EDD 536 , The Politics of Education and Finance of Schooling
 EDD 540 , Education and Leadership in Global Context: Globalization & Narrative Ethics
 EDD 585 , Field Experience: Global Context
 EDD 591A , Proseminar I: Introduction to Doctoral Studies in Educational Leadership
 EDD 591B , Proseminar II - Practitioner-Led Research
 EDD 591C , Professional Seminar III: Structuring & Writing a High Quality Dissertation
 EDD 599 , Dissertation
 EDD 1290R , Culminating Experience Supervision
 EDUC 80 , Independent Study
 EDUC 92 , International Program Studies
 EDUC 157SL , Community Action/Community Service
 EDUC 186 , Using Instructional Media
 EDUC 192 , International Program Studies
 EDUC 298 , Individualized Studies in Education
 EDLD 110 , Introduction to Educational and Community Leadership
 EDLD 120 ," The Right to Learn: Language, Dignity, and Education"
 EDLD 130 ," Antiracist Leadership: Cases, Frameworks, and Praxis"
 EDLD 140 ," Identity, Solidarity, and Social Justice Leadership"
 EDLD 150 ," Communication, Leadership, and Social Justice"
 EDLD 160 , 1st Generation College Students Pathways
 EDLD 200 , The School Manager
 EDLD 201 ," Epistemologies of Educational Leadership: Personal, Political, & Intellectual"
 EDLD 202 , Emancipatory Teaching and Learning
 EDLD 204 , Critical Studies of Educational Policy
 EDLD 205 ," Equity & Access: Practices, Policies, & Pedagogies"
 EDLD 206 , Emancipatory Leadership as Praxis Seminar
 EDLD 253 , Envisioning Emancipatory Leadership for Schools
 EDLD 298 , Individual Studies in Educational Leadership
 EE 30 , Introduction to Programming Micro-Controllers for Electrical Engineering
 EE 92 , International Program Studies
 EE 97 , Introductory Electrical Engineering Laboratory
 EE 98 , Introduction to Circuit Analysis
 EE 98H , Honors Introduction to Circuit Analysis
 EE 98W , Introduction to Circuit Analysis Workshop
 EE 102 , Probability and Statistics in Electrical
 EE 104 , Applied Programming in Electrical Engineering
 EE 106 , Fundamentals of Mechatronics Engineering
 EE 110 , Circuits and Systems
 EE 110L , Continuous and Discrete Time Systems Lab
 EE 110W , Circuits and Systems Workshop
 EE 112 , Introduction to Signal Processing
 EE 118 , Digital Logic Circuit Design
 EE 120 , Microprocessor Based System Design
 EE 122 , Electronic Design I
 EE 124 , Electronic Design II
 EE 127 , Electronics for Biomedical Applications
 EE 128 , Physical Electronics
 EE 129 , Introduction to Integrated Circuits Processing and Design
 EE 130 , Electric Machines and Drives
 EE 132 , Theory of Automatic Controls
 EE 134 , Power Systems
 EE 136 , Semiconductor Power Electronics
 EE 138 , Embedded Control System Design
 EE 140 , Principles of Electromagnetic Fields
 EE 153 , Introduction to Digital Signal Processing
 EE 160 , Principles of Communication Systems
 EE 161 , Digital Communication Systems
 EE 165 , Photovoltaic Fabrication/Testing Lab
 EE 166 , Design of CMOS Digital Integrated Circuits
 EE 168 , Microfluid Fabrication and Design
 EE 169 , Microelectromechanical Systems Fabrication and Design
 EE 171 , Introduction to Machine Learning for Electrical Engineers
 EE 172 , Introduction to Microwave Engineering
 EE 174 , Analog Peripheral for Embedded Systems
 EE 176 , Computer Organization
 EE 178 , Digital Design with FPGAs
 EE 180 , Individual Studies
 EE 181 , Fundamentals of Internetworking
 EE 182 , Analog and Mixed-Signal IC Test Development
 EE 183 , Electronics Test Design Engineering II
 EE 189 , Special Topics in Electrical Engineering
 EE 192 , International Program Studies
 EE 197 , Cooperative Education Project
 EE 198A , Senior Design Project I
 EE 198B , Senior Design Project II
 EE 209 , Network Security
 EE 210 , Linear System Theory
 EE 220 , Radio Frequency Integrated Circuit Design I (RFIC Design I)
 EE 221 , Semiconductor Devices I
 EE 222 , Advanced Integrated Devices
 EE 223 , Analog Integrated Circuits
 EE 224 , High Speed CMOS Circuits
 EE 225 , Introduction to Quantum Computing
 EE 226 , Cryogenic Nanoelectronics
 EE 227 , Signal Integrity in AMS IC
 EE 230 , Radio Frequency Integrated Circuit Design II
 EE 231 , Automatic Control Theory
 EE 237 , Vector Control of AC Machines
 EE 238 , Advanced Power Electronics
 EE 239 , Advanced Applications of Power Converters
 EE 250 ," Probabilities, Random Variables and Stochastic Processes"
 EE 251 , Digital Communication Systems
 EE 252 , Advanced Communication Systems
 EE 253 , Digital Signal Processing
 EE 254 , Adaptive Signal Processing
 EE 255 , Wireless/Mobile Communications
 EE 257 , Machine Learning for ElectricalEngineers
 EE 258 , Neural Networks
 EE 259 , Selected Topics in Signal Processing
 EE 260 , RFID Systems
 EE 263 , Digital Image Processing
 EE 265 , Software-Defined Radio Communications
 EE 267 , Computer Vision with Artificial Intelligence Applications
 EE 270 , Advanced Logic Design
 EE 271 , Digital System Design and Synthesis
 EE 272 , SoC Design & Verifi. with System Verilog
 EE 273 , Logic Verification with UVM
 EE 275 , Advanced Computer Architectures
 EE 277A , Embedded SoC Design
 EE 278 , Digital Design for AI and DSP
 EE 279 , Special Topics in Digital Systems
 EE 280 , Advanced Network Security
 EE 281 , Internetworking
 EE 282 , Internet Security and Cryptography
 EE 282A , Reinforcement Learning for Multi-Robot Networks
 EE 283 , Broadband Communication Networking
 EE 284 , VoIP and Multimedia Networks
 EE 286 , Mobile and Wireless Networking
 EE 287 , ASIC CMOS Design
 EE 288 , Data Conversions/Analog Mixed Signal ICs
 EE 289 , Special Topics in Networking
 EE 295 , Technical Writing - Engineering Ethics
 EE 296A , ES-level and Physical-level Design
 EE 297A , MSEE Project Proposal
 EE 297B , MSEE Project
 EE 298 , Special Problems
 EE 298I , Electrical Engineering Internship Experience
 EE 299A , MSEE Thesis Proposal
 EE 299B , MSEE Thesis
 EE 1290R , Culminating Experience Supervision
 EDEL 102 , Psychological Foundations of Education
 EDEL 103 , Social-Multicultural Foundations of Education
 EDEL 108A , Curriculum: Reading/Language Arts
 EDEL 108B , Curriculum: Science
 EDEL 108C , Curriculum: Social Studies
 EDEL 108D , Curriculum: Mathematics
 EDEL 108E , Teaching Reading in Linguistically and Culturally Diverse Classrooms
 EDEL 143A , Beginning Student-Teaching (Phase I)
 EDEL 143B , Advanced Student-Teaching (Phase II)
 EDEL 192 , International Program Studies
 ENGL 1A , First Year Writing
 ENGL 1AF , First-Year Writing: Stretch English I
 ENGL 1AS , First-Year Writing: Stretch English II
 ENGL 1B , Argument and Analysis
 ENGL 2 , Critical Thinking and Writing
 ENGL 10 , Great Works of Literature
 ENGL 20 , The Graphic Novel
 ENGL 21 , Mystery and Detective Fiction
 ENGL 22 , Fantasy and Science Fiction
 ENGL 30 , Literature and the Environment
 ENGL 40 , Contemporary World Fiction
 ENGL 50 , Beginnings to the American Experiment
 ENGL 60 ," Literatures of the Atlantic World, 1680‐1860"
 ENGL 70 , Emerging Modernisms and Beyond
 ENGL 71 , Creative Writing
 ENGL 78 , Introduction to Shakespeare’s Drama
 ENGL 92 , International Program Studies
 ENGL 96RWS , Integrating Reading and Writing
 ENGL 100A , Writing Competency Through Genres
 ENGL 100W , Writing Workshop
 ENGL 100WB , Written Communication: Business
 ENGL 101 , Introduction to Literary Criticism
 ENGL 103 , Modern English
 ENGL 105 , Seminar in Advanced Composition
 ENGL 106 , Editing for Writers
 ENGL 107 , Professional Technical Writing
 ENGL 108 , Gaming and Narrative
 ENGL 109 , Writing and the Young Writer
 ENGL 110 , Visual Rhetoric and Digital Document Design for Writers
 ENGL 111 , Writing Online: Strategic Digital Content and Social Media
 ENGL 112A , Children’s Literature
 ENGL 112B , Literature for Young Adults
 ENGL 113 , Gothic and Horror Fiction
 ENGL 115 , The Bible as Literature
 ENGL 116 , Myth in Literature
 ENGL 117A ," American Literature, Film, & Culture"
 ENGL 117B ," Global Film, Literature, and Cultures"
 ENGL 120 , Theatre History
 ENGL 121 , Introduction to Comparative Literature
 ENGL 122 , Topics in Comparative World Literature
 ENGL 123A , Literature for Global Understanding-The Americas
 ENGL 123B , Literature for Global Understanding-Africa
 ENGL 123C , Literature for Global Understanding-Oceania
 ENGL 123D , Literature for Global Understanding-Asia
 ENGL 125 , European Literature: Homer through Dante
 ENGL 126 , Holocaust Literature
 ENGL 127 , Contemporary Theatre
 ENGL 128 , Scriptwriting
 ENGL 129 , Introduction to Career Writing
 ENGL 130 , Writing Fiction
 ENGL 131 , Writing Poetry
 ENGL 133 , Reed Magazine
 ENGL 135 , Writing Nonfiction
 ENGL 139 , Visiting Authors
 ENGL 140A , Old English
 ENGL 140B , Beowulf
 ENGL 141 , Medieval Literature
 ENGL 142 , Chaucer
 ENGL 144 , Shakespeare I
 ENGL 145 , Shakespeare and Performance
 ENGL 147 , Milton
 ENGL 149 , The Romantic Period
 ENGL 150 , The Victorian Age
 ENGL 151 , 20th and 21st Century Poetry
 ENGL 153 , Studies in the British Novel Before 1900
 ENGL 156 ," Black Women Writers: Race, Culture and Resistance"
 ENGL 157 , Topics in Rhetorical Analysis
 ENGL 162 , Studies-American Literature Before 1865
 ENGL 163 , American Literature: 1865-1945
 ENGL 165 , Topics in Ethnic American Literature
 ENGL 166 , American Literature Since 1945
 ENGL 167 , Steinbeck
 ENGL 168 , The American Novel
 ENGL 169 , Ethnicity in American Literature
 ENGL 172 , The Arts in U.S. Society
 ENGL 173 , Thinking About Contemporary World Arts
 ENGL 176 , The Short Story
 ENGL 177 , Topics in Fiction Since 1900
